PA,SZ,AG,Sex,Pop,Time
Ang Mo Kio,Kebun Bahru,40_to_44,Males,1120,2000
Ang Mo Kio,Kebun Bahru,40_to_44,Females,1190,2000
Ang Mo Kio,Kebun Bahru,45_to_49,Males,1120,2000
Ang Mo Kio,Kebun Bahru,45_to_49,Females,1200,2000
Ang Mo Kio,Kebun Bahru,50_to_54,Males,950,2000
Ang Mo Kio,Kebun Bahru,50_to_54,Females,1040,2000
Ang Mo Kio,Kebun Bahru,55_to_59,Males,670,2000
Ang Mo Kio,Kebun Bahru,55_to_59,Females,710,2000
Ang Mo Kio,Kebun Bahru,60_to_64,Males,600,2000
Ang Mo Kio,Kebun Bahru,60_to_64,Females,570,2000
Ang Mo Kio,Kebun Bahru,65_to_69,Males,450,2000
Ang Mo Kio,Kebun Bahru,65_to_69,Females,460,2000
Ang Mo Kio,Kebun Bahru,70_to_74,Males,290,2000
Ang Mo Kio,Kebun Bahru,70_to_74,Females,330,2000
Ang Mo Kio,Kebun Bahru,75_to_79,Males,150,2000
Ang Mo Kio,Kebun Bahru,75_to_79,Females,200,2000
Ang Mo Kio,Kebun Bahru,80_to_84,Males,90,2000
Ang Mo Kio,Kebun Bahru,80_to_84,Females,110,2000
Ang Mo Kio,Kebun Bahru,85_and_over,Males,60,2000
Ang Mo Kio,Kebun Bahru,85_and_over,Females,120,2000
Ang Mo Kio,Seletar,0_to_4,Males,0,2000
Ang Mo Kio,Seletar,0_to_4,Females,0,2000
Ang Mo Kio,Seletar,5_to_9,Males,0,2000
Ang Mo Kio,Seletar,5_to_9,Females,0,2000
Ang Mo Kio,Seletar,10_to_14,Males,0,2000
Ang Mo Kio,Seletar,10_to_14,Females,0,2000
Ang Mo Kio,Seletar,15_to_19,Males,0,2000
Ang Mo Kio,Seletar,15_to_19,Females,0,2000
Ang Mo Kio,Seletar,20_to_24,Males,0,2000
Ang Mo Kio,Seletar,20_to_24,Females,0,2000
Ang Mo Kio,Seletar,25_to_29,Males,0,2000
Ang Mo Kio,Seletar,25_to_29,Females,0,2000
Ang Mo Kio,Seletar,30_to_34,Males,0,2000
Ang Mo Kio,Seletar,30_to_34,Females,0,2000
Ang Mo Kio,Seletar,35_to_39,Males,0,2000
Ang Mo Kio,Seletar,35_to_39,Females,0,2000
Ang Mo Kio,Seletar,40_to_44,Males,0,2000
Ang Mo Kio,Seletar,40_to_44,Females,0,2000
Ang Mo Kio,Seletar,45_to_49,Males,0,2000
Ang Mo Kio,Seletar,45_to_49,Females,0,2000
Ang Mo Kio,Seletar,50_to_54,Males,0,2000
Ang Mo Kio,Seletar,50_to_54,Females,0,2000
Ang Mo Kio,Seletar,55_to_59,Males,0,2000
Ang Mo Kio,Seletar,55_to_59,Females,0,2000
Ang Mo Kio,Seletar,60_to_64,Males,0,2000
Ang Mo Kio,Seletar,60_to_64,Females,0,2000
Ang Mo Kio,Seletar,65_to_69,Males,0,2000
Ang Mo Kio,Seletar,65_to_69,Females,0,2000
Ang Mo Kio,Seletar,70_to_74,Males,0,2000
Ang Mo Kio,Seletar,70_to_74,Females,0,2000
Ang Mo Kio,Seletar,75_to_79,Males,0,2000
Ang Mo Kio,Seletar,75_to_79,Females,0,2000
Ang Mo Kio,Seletar,80_to_84,Males,0,2000
Ang Mo Kio,Seletar,80_to_84,Females,0,2000
Ang Mo Kio,Seletar,85_and_over,Males,0,2000
Ang Mo Kio,Seletar,85_and_over,Females,0,2000
Ang Mo Kio,Sembawang Hills,0_to_4,Males,150,2000
Ang Mo Kio,Sembawang Hills,0_to_4,Females,160,2000
Ang Mo Kio,Sembawang Hills,5_to_9,Males,210,2000
Ang Mo Kio,Sembawang Hills,5_to_9,Females,230,2000
Ang Mo Kio,Sembawang Hills,10_to_14,Males,250,2000
Ang Mo Kio,Sembawang Hills,10_to_14,Females,250,2000
Ang Mo Kio,Sembawang Hills,15_to_19,Males,200,2000
Ang Mo Kio,Sembawang Hills,15_to_19,Females,200,2000
Ang Mo Kio,Sembawang Hills,20_to_24,Males,190,2000
Ang Mo Kio,Sembawang Hills,20_to_24,Females,180,2000
Ang Mo Kio,Sembawang Hills,25_to_29,Males,190,2000
Ang Mo Kio,Sembawang Hills,25_to_29,Females,210,2000
Ang Mo Kio,Sembawang Hills,30_to_34,Males,180,2000
Ang Mo Kio,Sembawang Hills,30_to_34,Females,190,2000
Ang Mo Kio,Sembawang Hills,35_to_39,Males,220,2000
Ang Mo Kio,Sembawang Hills,35_to_39,Females,300,2000
Ang Mo Kio,Sembawang Hills,40_to_44,Males,280,2000
Ang Mo Kio,Sembawang Hills,40_to_44,Females,300,2000
Ang Mo Kio,Sembawang Hills,45_to_49,Males,260,2000
Ang Mo Kio,Sembawang Hills,45_to_49,Females,270,2000
Ang Mo Kio,Sembawang Hills,50_to_54,Males,220,2000
Ang Mo Kio,Sembawang Hills,50_to_54,Females,260,2000
Ang Mo Kio,Sembawang Hills,55_to_59,Males,160,2000
Ang Mo Kio,Sembawang Hills,55_to_59,Females,140,2000
Ang Mo Kio,Sembawang Hills,60_to_64,Males,120,2000
Ang Mo Kio,Sembawang Hills,60_to_64,Females,140,2000
Ang Mo Kio,Sembawang Hills,65_to_69,Males,80,2000
Ang Mo Kio,Sembawang Hills,65_to_69,Females,130,2000
Ang Mo Kio,Sembawang Hills,70_to_74,Males,90,2000
Ang Mo Kio,Sembawang Hills,70_to_74,Females,90,2000
Ang Mo Kio,Sembawang Hills,75_to_79,Males,50,2000
Ang Mo Kio,Sembawang Hills,75_to_79,Females,60,2000
Ang Mo Kio,Sembawang Hills,80_to_84,Males,30,2000
Ang Mo Kio,Sembawang Hills,80_to_84,Females,40,2000
Ang Mo Kio,Sembawang Hills,85_and_over,Males,30,2000
Ang Mo Kio,Sembawang Hills,85_and_over,Females,40,2000
Ang Mo Kio,Shangri-La,0_to_4,Males,600,2000
Ang Mo Kio,Shangri-La,0_to_4,Females,570,2000
Ang Mo Kio,Shangri-La,5_to_9,Males,700,2000
Ang Mo Kio,Shangri-La,5_to_9,Females,650,2000
Ang Mo Kio,Shangri-La,10_to_14,Males,620,2000
Ang Mo Kio,Shangri-La,10_to_14,Females,570,2000
Ang Mo Kio,Shangri-La,15_to_19,Males,650,2000
Ang Mo Kio,Shangri-La,15_to_19,Females,610,2000
Ang Mo Kio,Shangri-La,20_to_24,Males,800,2000
Ang Mo Kio,Shangri-La,20_to_24,Females,810,2000
Ang Mo Kio,Shangri-La,25_to_29,Males,1100,2000
Ang Mo Kio,Shangri-La,25_to_29,Females,980,2000
Ang Mo Kio,Shangri-La,30_to_34,Males,900,2000
