PA,SZ,AG,Sex,Pop,Time
Toa Payoh,Potong Pasir,0_to_4,Females,280,2000
Toa Payoh,Potong Pasir,5_to_9,Males,450,2000
Toa Payoh,Potong Pasir,5_to_9,Females,400,2000
Toa Payoh,Potong Pasir,10_to_14,Males,510,2000
Toa Payoh,Potong Pasir,10_to_14,Females,450,2000
Toa Payoh,Potong Pasir,15_to_19,Males,560,2000
Toa Payoh,Potong Pasir,15_to_19,Females,480,2000
Toa Payoh,Potong Pasir,20_to_24,Males,560,2000
Toa Payoh,Potong Pasir,20_to_24,Females,520,2000
Toa Payoh,Potong Pasir,25_to_29,Males,620,2000
Toa Payoh,Potong Pasir,25_to_29,Females,560,2000
Toa Payoh,Potong Pasir,30_to_34,Males,490,2000
Toa Payoh,Potong Pasir,30_to_34,Females,470,2000
Toa Payoh,Potong Pasir,35_to_39,Males,540,2000
Toa Payoh,Potong Pasir,35_to_39,Females,550,2000
Toa Payoh,Potong Pasir,40_to_44,Males,640,2000
Toa Payoh,Potong Pasir,40_to_44,Females,750,2000
Toa Payoh,Potong Pasir,45_to_49,Males,700,2000
Toa Payoh,Potong Pasir,45_to_49,Females,730,2000
Toa Payoh,Potong Pasir,50_to_54,Males,600,2000
Toa Payoh,Potong Pasir,50_to_54,Females,610,2000
Toa Payoh,Potong Pasir,55_to_59,Males,340,2000
Toa Payoh,Potong Pasir,55_to_59,Females,340,2000
Toa Payoh,Potong Pasir,60_to_64,Males,300,2000
Toa Payoh,Potong Pasir,60_to_64,Females,290,2000
Toa Payoh,Potong Pasir,65_to_69,Males,190,2000
Toa Payoh,Potong Pasir,65_to_69,Females,220,2000
Toa Payoh,Potong Pasir,70_to_74,Males,120,2000
Toa Payoh,Potong Pasir,70_to_74,Females,150,2000
Toa Payoh,Potong Pasir,75_to_79,Males,60,2000
Toa Payoh,Potong Pasir,75_to_79,Females,110,2000
Toa Payoh,Potong Pasir,80_to_84,Males,40,2000
Toa Payoh,Potong Pasir,80_to_84,Females,80,2000
Toa Payoh,Potong Pasir,85_and_over,Males,30,2000
Toa Payoh,Potong Pasir,85_and_over,Females,40,2000
Toa Payoh,Sennett,0_to_4,Males,100,2000
Toa Payoh,Sennett,0_to_4,Females,80,2000
Toa Payoh,Sennett,5_to_9,Males,140,2000
Toa Payoh,Sennett,5_to_9,Females,130,2000
Toa Payoh,Sennett,10_to_14,Males,140,2000
Toa Payoh,Sennett,10_to_14,Females,140,2000
Toa Payoh,Sennett,15_to_19,Males,120,2000
Toa Payoh,Sennett,15_to_19,Females,150,2000
Toa Payoh,Sennett,20_to_24,Males,140,2000
Toa Payoh,Sennett,20_to_24,Females,130,2000
Toa Payoh,Sennett,25_to_29,Males,150,2000
Toa Payoh,Sennett,25_to_29,Females,140,2000
Toa Payoh,Sennett,30_to_34,Males,130,2000
Toa Payoh,Sennett,30_to_34,Females,140,2000
Toa Payoh,Sennett,35_to_39,Males,150,2000
Toa Payoh,Sennett,35_to_39,Females,170,2000
Toa Payoh,Sennett,40_to_44,Males,180,2000
Toa Payoh,Sennett,40_to_44,Females,240,2000
Toa Payoh,Sennett,45_to_49,Males,200,2000
Toa Payoh,Sennett,45_to_49,Females,210,2000
Toa Payoh,Sennett,50_to_54,Males,170,2000
Toa Payoh,Sennett,50_to_54,Females,180,2000
Toa Payoh,Sennett,55_to_59,Males,110,2000
Toa Payoh,Sennett,55_to_59,Females,120,2000
Toa Payoh,Sennett,60_to_64,Males,90,2000
Toa Payoh,Sennett,60_to_64,Females,110,2000
Toa Payoh,Sennett,65_to_69,Males,80,2000
Toa Payoh,Sennett,65_to_69,Females,110,2000
Toa Payoh,Sennett,70_to_74,Males,90,2000
Toa Payoh,Sennett,70_to_74,Females,100,2000
Toa Payoh,Sennett,75_to_79,Males,50,2000
Toa Payoh,Sennett,75_to_79,Females,70,2000
Toa Payoh,Sennett,80_to_84,Males,30,2000
Toa Payoh,Sennett,80_to_84,Females,40,2000
Toa Payoh,Sennett,85_and_over,Males,30,2000
Toa Payoh,Sennett,85_and_over,Females,60,2000
Toa Payoh,Toa Payoh Central,0_to_4,Males,590,2000
Toa Payoh,Toa Payoh Central,0_to_4,Females,550,2000
Toa Payoh,Toa Payoh Central,5_to_9,Males,610,2000
Toa Payoh,Toa Payoh Central,5_to_9,Females,560,2000
Toa Payoh,Toa Payoh Central,10_to_14,Males,490,2000
Toa Payoh,Toa Payoh Central,10_to_14,Females,450,2000
Toa Payoh,Toa Payoh Central,15_to_19,Males,510,2000
Toa Payoh,Toa Payoh Central,15_to_19,Females,490,2000
Toa Payoh,Toa Payoh Central,20_to_24,Males,570,2000
Toa Payoh,Toa Payoh Central,20_to_24,Females,620,2000
Toa Payoh,Toa Payoh Central,25_to_29,Males,830,2000
Toa Payoh,Toa Payoh Central,25_to_29,Females,850,2000
Toa Payoh,Toa Payoh Central,30_to_34,Males,820,2000
Toa Payoh,Toa Payoh Central,30_to_34,Females,890,2000
Toa Payoh,Toa Payoh Central,35_to_39,Males,900,2000
Toa Payoh,Toa Payoh Central,35_to_39,Females,930,2000
Toa Payoh,Toa Payoh Central,40_to_44,Males,900,2000
Toa Payoh,Toa Payoh Central,40_to_44,Females,910,2000
Toa Payoh,Toa Payoh Central,45_to_49,Males,670,2000
Toa Payoh,Toa Payoh Central,45_to_49,Females,670,2000
Toa Payoh,Toa Payoh Central,50_to_54,Males,590,2000
Toa Payoh,Toa Payoh Central,50_to_54,Females,750,2000
Toa Payoh,Toa Payoh Central,55_to_59,Males,480,2000
Toa Payoh,Toa Payoh Central,55_to_59,Females,560,2000
Toa Payoh,Toa Payoh Central,60_to_64,Males,490,2000
Toa Payoh,Toa Payoh Central,60_to_64,Females,600,2000
Toa Payoh,Toa Payoh Central,65_to_69,Males,400,2000
Toa Payoh,Toa Payoh Central,65_to_69,Females,420,2000
Toa Payoh,Toa Payoh Central,70_to_74,Males,310,2000
Toa Payoh,Toa Payoh Central,70_to_74,Females,320,2000
Toa Payoh,Toa Payoh Central,75_to_79,Males,160,2000
Toa Payoh,Toa Payoh Central,75_to_79,Females,180,2000
Toa Payoh,Toa Payoh Central,80_to_84,Males,80,2000
Toa Payoh,Toa Payoh Central,80_to_84,Females,140,2000
Toa Payoh,Toa Payoh Central,85_and_over,Males,60,2000
Toa Payoh,Toa Payoh Central,85_and_over,Females,100,2000
Toa Payoh,Woodleigh,0_to_4,Males,40,2000
Toa Payoh,Woodleigh,0_to_4,Females,50,2000
Toa Payoh,Woodleigh,5_to_9,Males,80,2000
Toa Payoh,Woodleigh,5_to_9,Females,80,2000
Toa Payoh,Woodleigh,10_to_14,Males,60,2000
Toa Payoh,Woodleigh,10_to_14,Females,70,2000
Toa Payoh,Woodleigh,15_to_19,Males,60,2000
Toa Payoh,Woodleigh,15_to_19,Females,40,2000
Toa Payoh,Woodleigh,20_to_24,Males,30,2000
Toa Payoh,Woodleigh,20_to_24,Females,40,2000
Toa Payoh,Woodleigh,25_to_29,Males,30,2000
Toa Payoh,Woodleigh,25_to_29,Females,40,2000
Toa Payoh,Woodleigh,30_to_34,Males,30,2000
Toa Payoh,Woodleigh,30_to_34,Females,50,2000
Toa Payoh,Woodleigh,35_to_39,Males,70,2000
Toa Payoh,Woodleigh,35_to_39,Females,80,2000
Toa Payoh,Woodleigh,40_to_44,Males,100,2000
Toa Payoh,Woodleigh,40_to_44,Females,90,2000
Toa Payoh,Woodleigh,45_to_49,Males,70,2000
Toa Payoh,Woodleigh,45_to_49,Females,70,2000
Toa Payoh,Woodleigh,50_to_54,Males,50,2000
Toa Payoh,Woodleigh,50_to_54,Females,50,2000
Toa Payoh,Woodleigh,55_to_59,Males,20,2000
Toa Payoh,Woodleigh,55_to_59,Females,20,2000
Toa Payoh,Woodleigh,60_to_64,Males,20,2000
Toa Payoh,Woodleigh,60_to_64,Females,20,2000
Toa Payoh,Woodleigh,65_to_69,Males,10,2000
Toa Payoh,Woodleigh,65_to_69,Females,20,2000
Toa Payoh,Woodleigh,70_to_74,Males,10,2000
Toa Payoh,Woodleigh,70_to_74,Females,20,2000
Toa Payoh,Woodleigh,75_to_79,Males,10,2000
Toa Payoh,Woodleigh,75_to_79,Females,10,2000
Toa Payoh,Woodleigh,80_to_84,Males,0,2000
Toa Payoh,Woodleigh,80_to_84,Females,10,2000
Toa Payoh,Woodleigh,85_and_over,Males,0,2000
Toa Payoh,Woodleigh,85_and_over,Females,0,2000
Tuas,Pioneer,0_to_4,Males,0,2000
Tuas,Pioneer,0_to_4,Females,0,2000
Tuas,Pioneer,5_to_9,Males,0,2000
Tuas,Pioneer,5_to_9,Females,0,2000
Tuas,Pioneer,10_to_14,Males,0,2000
Tuas,Pioneer,10_to_14,Females,0,2000
Tuas,Pioneer,15_to_19,Males,0,2000
Tuas,Pioneer,15_to_19,Females,0,2000
Tuas,Pioneer,20_to_24,Males,0,2000
Tuas,Pioneer,20_to_24,Females,0,2000
Tuas,Pioneer,25_to_29,Males,0,2000
Tuas,Pioneer,25_to_29,Females,0,2000
Tuas,Pioneer,30_to_34,Males,0,2000
Tuas,Pioneer,30_to_34,Females,0,2000
Tuas,Pioneer,35_to_39,Males,0,2000
Tuas,Pioneer,35_to_39,Females,0,2000
Tuas,Pioneer,40_to_44,Males,0,2000
Tuas,Pioneer,40_to_44,Females,0,2000
Tuas,Pioneer,45_to_49,Males,0,2000
Tuas,Pioneer,45_to_49,Females,0,2000
Tuas,Pioneer,50_to_54,Males,0,2000
Tuas,Pioneer,50_to_54,Females,0,2000
Tuas,Pioneer,55_to_59,Males,0,2000
Tuas,Pioneer,55_to_59,Females,0,2000
Tuas,Pioneer,60_to_64,Males,0,2000
Tuas,Pioneer,60_to_64,Females,0,2000
Tuas,Pioneer,65_to_69,Males,0,2000
Tuas,Pioneer,65_to_69,Females,0,2000
Tuas,Pioneer,70_to_74,Males,0,2000
Tuas,Pioneer,70_to_74,Females,0,2000
Tuas,Pioneer,75_to_79,Males,0,2000
Tuas,Pioneer,75_to_79,Females,0,2000
Tuas,Pioneer,80_to_84,Males,0,2000
Tuas,Pioneer,80_to_84,Females,0,2000
Tuas,Pioneer,85_and_over,Males,0,2000
Tuas,Pioneer,85_and_over,Females,0,2000
Tuas,Tengah,0_to_4,Males,0,2000
Tuas,Tengah,0_to_4,Females,0,2000
Tuas,Tengah,5_to_9,Males,0,2000
Tuas,Tengah,5_to_9,Females,0,2000
Tuas,Tengah,10_to_14,Males,0,2000
Tuas,Tengah,10_to_14,Females,0,2000
Tuas,Tengah,15_to_19,Males,0,2000
Tuas,Tengah,15_to_19,Females,0,2000
Tuas,Tengah,20_to_24,Males,0,2000
Tuas,Tengah,20_to_24,Females,0,2000
Tuas,Tengah,25_to_29,Males,0,2000
Tuas,Tengah,25_to_29,Females,0,2000
Tuas,Tengah,30_to_34,Males,0,2000
Tuas,Tengah,30_to_34,Females,0,2000
Tuas,Tengah,35_to_39,Males,0,2000
Tuas,Tengah,35_to_39,Females,0,2000
Tuas,Tengah,40_to_44,Males,0,2000
Tuas,Tengah,40_to_44,Females,0,2000
Tuas,Tengah,45_to_49,Males,0,2000
Tuas,Tengah,45_to_49,Females,0,2000
Tuas,Tengah,50_to_54,Males,0,2000
Tuas,Tengah,50_to_54,Females,0,2000
Tuas,Tengah,55_to_59,Males,0,2000
Tuas,Tengah,55_to_59,Females,0,2000
Tuas,Tengah,60_to_64,Males,0,2000
Tuas,Tengah,60_to_64,Females,0,2000
Tuas,Tengah,65_to_69,Males,0,2000
Tuas,Tengah,65_to_69,Females,0,2000
Tuas,Tengah,70_to_74,Males,0,2000
Tuas,Tengah,70_to_74,Females,0,2000
Tuas,Tengah,75_to_79,Males,0,2000
Tuas,Tengah,75_to_79,Females,0,2000
Tuas,Tengah,80_to_84,Males,0,2000
Tuas,Tengah,80_to_84,Females,0,2000
Tuas,Tengah,85_and_over,Males,0,2000
Tuas,Tengah,85_and_over,Females,0,2000
Tuas,Tuas Bay,0_to_4,Males,0,2000
Tuas,Tuas Bay,0_to_4,Females,0,2000
Tuas,Tuas Bay,5_to_9,Males,0,2000
Tuas,Tuas Bay,5_to_9,Females,0,2000
Tuas,Tuas Bay,10_to_14,Males,0,2000
Tuas,Tuas Bay,10_to_14,Females,0,2000
Tuas,Tuas Bay,15_to_19,Males,0,2000
Tuas,Tuas Bay,15_to_19,Females,0,2000
Tuas,Tuas Bay,20_to_24,Males,0,2000
Tuas,Tuas Bay,20_to_24,Females,0,2000
Tuas,Tuas Bay,25_to_29,Males,0,2000
Tuas,Tuas Bay,25_to_29,Females,0,2000
Tuas,Tuas Bay,30_to_34,Males,0,2000
Tuas,Tuas Bay,30_to_34,Females,0,2000
Tuas,Tuas Bay,35_to_39,Males,0,2000
Tuas,Tuas Bay,35_to_39,Females,0,2000
Tuas,Tuas Bay,40_to_44,Males,0,2000
Tuas,Tuas Bay,40_to_44,Females,0,2000
Tuas,Tuas Bay,45_to_49,Males,0,2000
Tuas,Tuas Bay,45_to_49,Females,0,2000
Tuas,Tuas Bay,50_to_54,Males,0,2000
Tuas,Tuas Bay,50_to_54,Females,0,2000
Tuas,Tuas Bay,55_to_59,Males,0,2000
Tuas,Tuas Bay,55_to_59,Females,0,2000
Tuas,Tuas Bay,60_to_64,Males,0,2000
Tuas,Tuas Bay,60_to_64,Females,0,2000
Tuas,Tuas Bay,65_to_69,Males,0,2000
Tuas,Tuas Bay,65_to_69,Females,0,2000
Tuas,Tuas Bay,70_to_74,Males,0,2000
Tuas,Tuas Bay,70_to_74,Females,0,2000
Tuas,Tuas Bay,75_to_79,Males,0,2000
Tuas,Tuas Bay,75_to_79,Females,0,2000
Tuas,Tuas Bay,80_to_84,Males,0,2000
Tuas,Tuas Bay,80_to_84,Females,0,2000
Tuas,Tuas Bay,85_and_over,Males,0,2000
Tuas,Tuas Bay,85_and_over,Females,0,2000
Tuas,Tuas Coast,0_to_4,Males,0,2000
Tuas,Tuas Coast,0_to_4,Females,0,2000
Tuas,Tuas Coast,5_to_9,Males,0,2000
Tuas,Tuas Coast,5_to_9,Females,0,2000
Tuas,Tuas Coast,10_to_14,Males,0,2000
Tuas,Tuas Coast,10_to_14,Females,0,2000
Tuas,Tuas Coast,15_to_19,Males,0,2000
Tuas,Tuas Coast,15_to_19,Females,0,2000
Tuas,Tuas Coast,20_to_24,Males,0,2000
Tuas,Tuas Coast,20_to_24,Females,0,2000
Tuas,Tuas Coast,25_to_29,Males,0,2000
Tuas,Tuas Coast,25_to_29,Females,0,2000
Tuas,Tuas Coast,30_to_34,Males,0,2000
Tuas,Tuas Coast,30_to_34,Females,0,2000
Tuas,Tuas Coast,35_to_39,Males,0,2000
Tuas,Tuas Coast,35_to_39,Females,0,2000
Tuas,Tuas Coast,40_to_44,Males,0,2000
Tuas,Tuas Coast,40_to_44,Females,0,2000
Tuas,Tuas Coast,45_to_49,Males,0,2000
Tuas,Tuas Coast,45_to_49,Females,0,2000
Tuas,Tuas Coast,50_to_54,Males,0,2000
Tuas,Tuas Coast,50_to_54,Females,0,2000
Tuas,Tuas Coast,55_to_59,Males,0,2000
Tuas,Tuas Coast,55_to_59,Females,0,2000
Tuas,Tuas Coast,60_to_64,Males,0,2000
Tuas,Tuas Coast,60_to_64,Females,0,2000
Tuas,Tuas Coast,65_to_69,Males,0,2000
Tuas,Tuas Coast,65_to_69,Females,0,2000
Tuas,Tuas Coast,70_to_74,Males,0,2000
Tuas,Tuas Coast,70_to_74,Females,0,2000
Tuas,Tuas Coast,75_to_79,Males,0,2000
Tuas,Tuas Coast,75_to_79,Females,0,2000
Tuas,Tuas Coast,80_to_84,Males,0,2000
Tuas,Tuas Coast,80_to_84,Females,0,2000
Tuas,Tuas Coast,85_and_over,Males,0,2000
Tuas,Tuas Coast,85_and_over,Females,0,2000
Tuas,Tuas Promenade,0_to_4,Males,0,2000
Tuas,Tuas Promenade,0_to_4,Females,0,2000
Tuas,Tuas Promenade,5_to_9,Males,0,2000
Tuas,Tuas Promenade,5_to_9,Females,0,2000
Tuas,Tuas Promenade,10_to_14,Males,0,2000
Tuas,Tuas Promenade,10_to_14,Females,0,2000
Tuas,Tuas Promenade,15_to_19,Males,0,2000
Tuas,Tuas Promenade,15_to_19,Females,0,2000
Tuas,Tuas Promenade,20_to_24,Males,0,2000
Tuas,Tuas Promenade,20_to_24,Females,0,2000
Tuas,Tuas Promenade,25_to_29,Males,0,2000
Tuas,Tuas Promenade,25_to_29,Females,0,2000
Tuas,Tuas Promenade,30_to_34,Males,0,2000
Tuas,Tuas Promenade,30_to_34,Females,0,2000
Tuas,Tuas Promenade,35_to_39,Males,0,2000
Tuas,Tuas Promenade,35_to_39,Females,0,2000
Tuas,Tuas Promenade,40_to_44,Males,0,2000
Tuas,Tuas Promenade,40_to_44,Females,0,2000
Tuas,Tuas Promenade,45_to_49,Males,0,2000
Tuas,Tuas Promenade,45_to_49,Females,0,2000
Tuas,Tuas Promenade,50_to_54,Males,0,2000
Tuas,Tuas Promenade,50_to_54,Females,0,2000
Tuas,Tuas Promenade,55_to_59,Males,0,2000
Tuas,Tuas Promenade,55_to_59,Females,0,2000
Tuas,Tuas Promenade,60_to_64,Males,0,2000
Tuas,Tuas Promenade,60_to_64,Females,0,2000
Tuas,Tuas Promenade,65_to_69,Males,0,2000
Tuas,Tuas Promenade,65_to_69,Females,0,2000
Tuas,Tuas Promenade,70_to_74,Males,0,2000
Tuas,Tuas Promenade,70_to_74,Females,0,2000
Tuas,Tuas Promenade,75_to_79,Males,0,2000
Tuas,Tuas Promenade,75_to_79,Females,0,2000
Tuas,Tuas Promenade,80_to_84,Males,0,2000
Tuas,Tuas Promenade,80_to_84,Females,0,2000
Tuas,Tuas Promenade,85_and_over,Males,0,2000
Tuas,Tuas Promenade,85_and_over,Females,0,2000
Tuas,Tuas View,0_to_4,Males,0,2000
Tuas,Tuas View,0_to_4,Females,0,2000
Tuas,Tuas View,5_to_9,Males,0,2000
Tuas,Tuas View,5_to_9,Females,0,2000
Tuas,Tuas View,10_to_14,Males,0,2000
Tuas,Tuas View,10_to_14,Females,0,2000
Tuas,Tuas View,15_to_19,Males,0,2000
Tuas,Tuas View,15_to_19,Females,0,2000
Tuas,Tuas View,20_to_24,Males,0,2000
Tuas,Tuas View,20_to_24,Females,0,2000
Tuas,Tuas View,25_to_29,Males,0,2000
Tuas,Tuas View,25_to_29,Females,0,2000
Tuas,Tuas View,30_to_34,Males,0,2000
Tuas,Tuas View,30_to_34,Females,0,2000
Tuas,Tuas View,35_to_39,Males,0,2000
Tuas,Tuas View,35_to_39,Females,0,2000
Tuas,Tuas View,40_to_44,Males,0,2000
Tuas,Tuas View,40_to_44,Females,0,2000
Tuas,Tuas View,45_to_49,Males,0,2000
Tuas,Tuas View,45_to_49,Females,0,2000
Tuas,Tuas View,50_to_54,Males,0,2000
Tuas,Tuas View,50_to_54,Females,0,2000
Tuas,Tuas View,55_to_59,Males,0,2000
Tuas,Tuas View,55_to_59,Females,0,2000
Tuas,Tuas View,60_to_64,Males,0,2000
Tuas,Tuas View,60_to_64,Females,0,2000
Tuas,Tuas View,65_to_69,Males,0,2000
Tuas,Tuas View,65_to_69,Females,0,2000
Tuas,Tuas View,70_to_74,Males,0,2000
Tuas,Tuas View,70_to_74,Females,0,2000
Tuas,Tuas View,75_to_79,Males,0,2000
Tuas,Tuas View,75_to_79,Females,0,2000
Tuas,Tuas View,80_to_84,Males,0,2000
Tuas,Tuas View,80_to_84,Females,0,2000
Tuas,Tuas View,85_and_over,Males,0,2000
Tuas,Tuas View,85_and_over,Females,0,2000
Western Islands,Bukum,0_to_4,Males,0,2000
Western Islands,Bukum,0_to_4,Females,0,2000
Western Islands,Bukum,5_to_9,Males,0,2000
Western Islands,Bukum,5_to_9,Females,0,2000
Western Islands,Bukum,10_to_14,Males,0,2000
Western Islands,Bukum,10_to_14,Females,0,2000
Western Islands,Bukum,15_to_19,Males,0,2000
Western Islands,Bukum,15_to_19,Females,0,2000
Western Islands,Bukum,20_to_24,Males,0,2000
Western Islands,Bukum,20_to_24,Females,0,2000
Western Islands,Bukum,25_to_29,Males,0,2000
Western Islands,Bukum,25_to_29,Females,0,2000
Western Islands,Bukum,30_to_34,Males,0,2000
Western Islands,Bukum,30_to_34,Females,0,2000
Western Islands,Bukum,35_to_39,Males,0,2000
Western Islands,Bukum,35_to_39,Females,0,2000
Western Islands,Bukum,40_to_44,Males,0,2000
Western Islands,Bukum,40_to_44,Females,0,2000
Western Islands,Bukum,45_to_49,Males,0,2000
Western Islands,Bukum,45_to_49,Females,0,2000
Western Islands,Bukum,50_to_54,Males,0,2000
Western Islands,Bukum,50_to_54,Females,0,2000
Western Islands,Bukum,55_to_59,Males,0,2000
Western Islands,Bukum,55_to_59,Females,0,2000
Western Islands,Bukum,60_to_64,Males,0,2000
Western Islands,Bukum,60_to_64,Females,0,2000
Western Islands,Bukum,65_to_69,Males,0,2000
Western Islands,Bukum,65_to_69,Females,0,2000
Western Islands,Bukum,70_to_74,Males,0,2000
Western Islands,Bukum,70_to_74,Females,0,2000
Western Islands,Bukum,75_to_79,Males,0,2000
Western Islands,Bukum,75_to_79,Females,0,2000
Western Islands,Bukum,80_to_84,Males,0,2000
Western Islands,Bukum,80_to_84,Females,0,2000
Western Islands,Bukum,85_and_over,Males,0,2000
Western Islands,Bukum,85_and_over,Females,0,2000
Western Islands,Jurong Island,0_to_4,Males,0,2000
Western Islands,Jurong Island,0_to_4,Females,0,2000
Western Islands,Jurong Island,5_to_9,Males,0,2000
Western Islands,Jurong Island,5_to_9,Females,0,2000
Western Islands,Jurong Island,10_to_14,Males,0,2000
Western Islands,Jurong Island,10_to_14,Females,0,2000
Western Islands,Jurong Island,15_to_19,Males,0,2000
Western Islands,Jurong Island,15_to_19,Females,0,2000
Western Islands,Jurong Island,20_to_24,Males,0,2000
Western Islands,Jurong Island,20_to_24,Females,0,2000
Western Islands,Jurong Island,25_to_29,Males,0,2000
Western Islands,Jurong Island,25_to_29,Females,0,2000
Western Islands,Jurong Island,30_to_34,Males,0,2000
Western Islands,Jurong Island,30_to_34,Females,0,2000
Western Islands,Jurong Island,35_to_39,Males,0,2000
Western Islands,Jurong Island,35_to_39,Females,0,2000
Western Islands,Jurong Island,40_to_44,Males,0,2000
Western Islands,Jurong Island,40_to_44,Females,0,2000
Western Islands,Jurong Island,45_to_49,Males,0,2000
Western Islands,Jurong Island,45_to_49,Females,0,2000
Western Islands,Jurong Island,50_to_54,Males,0,2000
Western Islands,Jurong Island,50_to_54,Females,0,2000
Western Islands,Jurong Island,55_to_59,Males,0,2000
Western Islands,Jurong Island,55_to_59,Females,0,2000
Western Islands,Jurong Island,60_to_64,Males,0,2000
Western Islands,Jurong Island,60_to_64,Females,0,2000
Western Islands,Jurong Island,65_to_69,Males,0,2000
Western Islands,Jurong Island,65_to_69,Females,0,2000
Western Islands,Jurong Island,70_to_74,Males,0,2000
Western Islands,Jurong Island,70_to_74,Females,0,2000
Western Islands,Jurong Island,75_to_79,Males,0,2000
Western Islands,Jurong Island,75_to_79,Females,0,2000
Western Islands,Jurong Island,80_to_84,Males,0,2000
Western Islands,Jurong Island,80_to_84,Females,0,2000
Western Islands,Jurong Island,85_and_over,Males,0,2000
Western Islands,Jurong Island,85_and_over,Females,0,2000
Western Islands,Sudong,0_to_4,Males,0,2000
Western Islands,Sudong,0_to_4,Females,0,2000
Western Islands,Sudong,5_to_9,Males,0,2000
Western Islands,Sudong,5_to_9,Females,0,2000
Western Islands,Sudong,10_to_14,Males,0,2000
Western Islands,Sudong,10_to_14,Females,0,2000
Western Islands,Sudong,15_to_19,Males,0,2000
Western Islands,Sudong,15_to_19,Females,0,2000
Western Islands,Sudong,20_to_24,Males,0,2000
Western Islands,Sudong,20_to_24,Females,0,2000
Western Islands,Sudong,25_to_29,Males,0,2000
Western Islands,Sudong,25_to_29,Females,0,2000
Western Islands,Sudong,30_to_34,Males,0,2000
Western Islands,Sudong,30_to_34,Females,0,2000
Western Islands,Sudong,35_to_39,Males,0,2000
Western Islands,Sudong,35_to_39,Females,0,2000
Western Islands,Sudong,40_to_44,Males,0,2000
Western Islands,Sudong,40_to_44,Females,0,2000
Western Islands,Sudong,45_to_49,Males,0,2000
Western Islands,Sudong,45_to_49,Females,0,2000
Western Islands,Sudong,50_to_54,Males,0,2000
Western Islands,Sudong,50_to_54,Females,0,2000
Western Islands,Sudong,55_to_59,Males,0,2000
Western Islands,Sudong,55_to_59,Females,0,2000
Western Islands,Sudong,60_to_64,Males,0,2000
Western Islands,Sudong,60_to_64,Females,0,2000
Western Islands,Sudong,65_to_69,Males,0,2000
Western Islands,Sudong,65_to_69,Females,0,2000
Western Islands,Sudong,70_to_74,Males,0,2000
Western Islands,Sudong,70_to_74,Females,0,2000
Western Islands,Sudong,75_to_79,Males,0,2000
Western Islands,Sudong,75_to_79,Females,0,2000
Western Islands,Sudong,80_to_84,Males,0,2000
Western Islands,Sudong,80_to_84,Females,0,2000
Western Islands,Sudong,85_and_over,Males,0,2000
Western Islands,Sudong,85_and_over,Females,0,2000
Western Water Catchment,Western Water Catchment,0_to_4,Males,20,2000
Western Water Catchment,Western Water Catchment,0_to_4,Females,10,2000
Western Water Catchment,Western Water Catchment,5_to_9,Males,10,2000
Western Water Catchment,Western Water Catchment,5_to_9,Females,20,2000
Western Water Catchment,Western Water Catchment,10_to_14,Males,20,2000
Western Water Catchment,Western Water Catchment,10_to_14,Females,20,2000
Western Water Catchment,Western Water Catchment,15_to_19,Males,10,2000
Western Water Catchment,Western Water Catchment,15_to_19,Females,10,2000
Western Water Catchment,Western Water Catchment,20_to_24,Males,0,2000
Western Water Catchment,Western Water Catchment,20_to_24,Females,20,2000
Western Water Catchment,Western Water Catchment,25_to_29,Males,0,2000
Western Water Catchment,Western Water Catchment,25_to_29,Females,20,2000
Western Water Catchment,Western Water Catchment,30_to_34,Males,10,2000
Western Water Catchment,Western Water Catchment,30_to_34,Females,10,2000
Western Water Catchment,Western Water Catchment,35_to_39,Males,40,2000
Western Water Catchment,Western Water Catchment,35_to_39,Females,30,2000
Western Water Catchment,Western Water Catchment,40_to_44,Males,30,2000
Western Water Catchment,Western Water Catchment,40_to_44,Females,20,2000
Western Water Catchment,Western Water Catchment,45_to_49,Males,20,2000
Western Water Catchment,Western Water Catchment,45_to_49,Females,10,2000
Western Water Catchment,Western Water Catchment,50_to_54,Males,20,2000
Western Water Catchment,Western Water Catchment,50_to_54,Females,20,2000
Western Water Catchment,Western Water Catchment,55_to_59,Males,10,2000
Western Water Catchment,Western Water Catchment,55_to_59,Females,10,2000
Western Water Catchment,Western Water Catchment,60_to_64,Males,10,2000
Western Water Catchment,Western Water Catchment,60_to_64,Females,0,2000
Western Water Catchment,Western Water Catchment,65_to_69,Males,0,2000
Western Water Catchment,Western Water Catchment,65_to_69,Females,0,2000
Western Water Catchment,Western Water Catchment,70_to_74,Males,0,2000
Western Water Catchment,Western Water Catchment,70_to_74,Females,0,2000
Western Water Catchment,Western Water Catchment,75_to_79,Males,0,2000
Western Water Catchment,Western Water Catchment,75_to_79,Females,0,2000
Western Water Catchment,Western Water Catchment,80_to_84,Males,0,2000
Western Water Catchment,Western Water Catchment,80_to_84,Females,0,2000
Western Water Catchment,Western Water Catchment,85_and_over,Males,0,2000
Western Water Catchment,Western Water Catchment,85_and_over,Females,0,2000
Woodlands,Greenwood Park,0_to_4,Males,0,2000
Woodlands,Greenwood Park,0_to_4,Females,0,2000
Woodlands,Greenwood Park,5_to_9,Males,0,2000
Woodlands,Greenwood Park,5_to_9,Females,0,2000
Woodlands,Greenwood Park,10_to_14,Males,0,2000
Woodlands,Greenwood Park,10_to_14,Females,0,2000
Woodlands,Greenwood Park,15_to_19,Males,0,2000
