Country,Country,Year,Avg. Income,Avg. LifeExp,Pop
Sudan,Sudan,1852,607,31.4,4700000
St. Vincent and the Grenadines,St. Vincent and the Grenadines,1852,1040,26,30300
St. Lucia,St. Lucia,1852,974,28,24900
Sri Lanka,Sri Lanka,1852,967,32.6,2240000
Spain,Spain,1852,1720,29.5,15000000
South Sudan,South Sudan,1852,594,26.7,1230000
South Korea,South Korea,1852,546,25.8,9580000
South Africa,South Africa,1852,1620,33.5,2130000
Somalia,Somalia,1852,729,29.4,1220000
Solomon Islands,Solomon Islands,1852,407,25.1,65600
Slovenia,Slovenia,1852,1820,36.6,623000
Slovak Republic,Slovak Republic,1852,1840,36.4,2410000
Singapore,Singapore,1852,1100,34,58700
Sierra Leone,Sierra Leone,1852,859,25.1,987000
Seychelles,Seychelles,1852,973,37,14000
Serbia,Serbia,1852,1750,35.5,2850000
Senegal,Senegal,1852,582,25.2,1250000
Saudi Arabia,Saudi Arabia,1852,892,32.1,2250000
Sao Tome and Principe,Sao Tome and Principe,1852,936,31,28900
Samoa,Samoa,1852,1570,25.4,45700
Rwanda,Rwanda,1852,460,31.8,1130000
Russia,Russia,1852,1800,29.6,41800000
Romania,Romania,1852,1270,35.7,8110000
Qatar,Qatar,1852,1330,30.8,14100
Portugal,Portugal,1852,1790,35.6,3860000
Poland,Poland,1852,1480,35.9,13500000
Philippines,Philippines,1852,1010,30.9,3270000
Peru,Peru,1852,1310,35.7,2060000
Paraguay,Paraguay,1852,1250,35.5,340000
Papua New Guinea,Papua New Guinea,1852,611,31.5,923000
Panama,Panama,1852,1220,32.9,138000
Palestine,Palestine,1852,1230,32.1,171000
Pakistan,Pakistan,1852,1020,25.8,15200000
Oman,Oman,1852,1050,32.3,349000
Norway,Norway,1852,1760,48.5,1440000
North Korea,North Korea,1852,549,26,4460000
Nigeria,Nigeria,1852,1020,30.4,13900000
Niger,Niger,1852,522,30.8,1470000
Nicaragua,Nicaragua,1852,1370,25.4,353000
New Zealand,New Zealand,1852,2170,34,102000
Netherlands,Netherlands,1852,4640,38.7,3170000
Nepal,Nepal,1852,659,32.8,4390000
Namibia,Namibia,1852,873,32.4,229000
Myanmar,Myanmar,1852,846,30.8,3960000
Mozambique,Mozambique,1852,402,30.3,2760000
Morocco,Morocco,1852,758,33.1,3340000
Montenegro,Montenegro,1852,1370,35.4,168000
Mongolia,Mongolia,1852,627,31.8,650000
Moldova,Moldova,1852,741,33.1,956000
Mexico,Mexico,1852,1290,26.9,7870000
Mauritius,Mauritius,1852,1100,34.5,218000
Mauritania,Mauritania,1852,617,32,437000
Marshall Islands,Marshall Islands,1852,556,,7110
Malta,Malta,1852,1050,28.7,165000
Mali,Mali,1852,611,26.4,1890000
Maldives,Maldives,1852,842,32.6,51000
Malaysia,Malaysia,1852,1070,30.6,557000
Malawi,Malawi,1852,353,30.3,738000
Madagascar,Madagascar,1852,670,30.5,2090000
Luxembourg,Luxembourg,1852,2130,36.9,157000
Lithuania,Lithuania,1852,1600,28.9,1050000
Libya,Libya,1852,1560,33.1,633000
Liberia,Liberia,1852,871,31.1,408000
Lesotho,Lesotho,1852,405,32.8,352000
Lebanon,Lebanon,1852,1370,29.7,418000
Latvia,Latvia,1852,946,33,793000
Lao,Lao,1852,936,31.9,637000
Kyrgyz Republic,Kyrgyz Republic,1852,675,23.9,712000
Kuwait,Kuwait,1852,1330,26,81200
Kiribati,Kiribati,1852,577,24.9,19800
Kenya,Kenya,1852,1000,25.5,2580000
Jordan,Jordan,1852,1120,31.7,248000
Japan,Japan,1852,1130,36.4,32400000
Jamaica,Jamaica,1852,913,34.2,416000
Italy,Italy,1852,2400,29.7,24800000
Israel,Israel,1852,886,32,217000
Ireland,Ireland,1852,2290,38.3,4890000
Iraq,Iraq,1852,1110,31.2,1380000
Iran,Iran,1852,1040,25.6,7690000
Indonesia,Indonesia,1852,1050,30,22400000
India,India,1852,1050,25.4,198000000
Iceland,Iceland,1852,1320,42.1,75700
Hungary,Hungary,1852,1610,36,5230000
Honduras,Honduras,1852,1020,33.9,343000
Haiti,Haiti,1852,880,29,962000
Guyana,Guyana,1852,1510,31.1,207000
Guinea-Bissau,Guinea-Bissau,1852,800,32,270000
Guinea,Guinea,1852,482,30,1310000
Guatemala,Guatemala,1852,1120,25.8,873000
Grenada,Grenada,1852,1100,37.3,32500
Greece,Greece,1852,1830,36.6,3100000
Ghana,Ghana,1852,725,28,1720000
Germany,Germany,1852,2180,38.4,34200000
Georgia,Georgia,1852,634,31.9,1440000
Gambia,Gambia,1852,839,28.8,131000
Gabon,Gabon,1852,393,30.6,207000
France,France,1852,2380,41.3,36500000
Finland,Finland,1852,1530,32.9,1640000
Fiji,Fiji,1852,877,26.1,136000
Ethiopia,Ethiopia,1852,530,29.7,4640000
Estonia,Estonia,1852,1180,36.2,449000
Eritrea,Eritrea,1852,579,30.2,314000
Equatorial Guinea,Equatorial Guinea,1852,381,29.8,89400
El Salvador,El Salvador,1852,1280,28.7,380000
Egypt,Egypt,1852,919,33,5850000
Ecuador,Ecuador,1852,651,32.9,830000
Dominican Republic,Dominican Republic,1852,796,29.9,157000
Dominica,Dominica,1852,825,,23400
Djibouti,Djibouti,1852,886,29.9,29200
Denmark,Denmark,1852,2930,43.1,1550000
Czech Republic,Czech Republic,1852,2470,35,6200000
Cyprus,Cyprus,1852,1250,38.5,185000
Cuba,Cuba,1852,1580,36.4,1220000
Croatia,Croatia,1852,1740,36.1,1630000
Cote d'Ivoire,Cote d'Ivoire,1852,1000,31.2,1350000
Costa Rica,Costa Rica,1852,1110,30.2,104000
"Congo, Dem. Rep.","Congo, Dem. Rep.",1852,601,31.6,6380000
Comoros,Comoros,1852,734,32.1,72500
Colombia,Colombia,1852,1050,32,2060000
China,China,1852,1020,30,399000000
Chile,Chile,1852,1440,32,1460000
Chad,Chad,1852,489,30.9,1430000
Central African Republic,Central African Republic,1852,496,30,559000
Canada,Canada,1852,2240,41.1,2650000
Cameroon,Cameroon,1852,733,28.8,2040000
Cambodia,Cambodia,1852,950,35,2250000
Burundi,Burundi,1852,439,31.5,1150000
Burkina Faso,Burkina Faso,1852,499,29.2,2100000
Bulgaria,Bulgaria,1852,1280,38.1,2500000
Brazil,Brazil,1852,1230,32,7480000
Botswana,Botswana,1852,465,33.6,121000
Bosnia and Herzegovina,Bosnia and Herzegovina,1852,782,35.1,1130000
Bhutan,Bhutan,1852,672,28.8,105000
Benin,Benin,1852,698,31,871000
Belize,Belize,1852,720,26.5,25900
Belgium,Belgium,1852,3550,41.8,4490000
Belarus,Belarus,1852,740,36.2,3160000
Barbados,Barbados,1852,1140,32.1,137000
Bangladesh,Bangladesh,1852,878,25.5,22900000
Bahrain,Bahrain,1852,1570,30.3,64500
Bahamas,Bahamas,1852,1800,35.2,30100
Azerbaijan,Azerbaijan,1852,929,29.2,1180000
Austria,Austria,1852,2960,34.4,4010000
Australia,Australia,1852,4550,34,831000
Armenia,Armenia,1852,583,34,554000
Argentina,Argentina,1852,2380,33.2,1170000
Antigua and Barbuda,Antigua and Barbuda,1852,942,33.5,37000
Angola,Angola,1852,776,27,1980000
Andorra,Andorra,1852,1810,,3270
Algeria,Algeria,1852,1040,28.8,3350000
Albania,Albania,1852,720,35.4,515000
Afghanistan,Afghanistan,1852,674,27.7,3840000
Vietnam,,1852,844,32,8860000
Turkmenistan,,1852,1190,24,493000
Swaziland,,1852,573,32.3,86100
"Micronesia, Fed. Sts.",,1852,535,26.7,19300
"Macedonia, FYR",,1852,891,36.1,520000
Kazakhstan,,1852,1440,26.2,2740000
"Congo, Rep.",,1852,666,32.7,397000
Cape Verde,,1852,608,33.8,74300
Brunei,,1852,1690,29.2,4130
Bolivia,,1852,1160,33,1380000
Zimbabwe,Zimbabwe,1853,926,33.7,1380000
Zambia,Zambia,1853,754,32.6,747000
Yemen,Yemen,1853,1020,23.4,2760000
Venezuela,Venezuela,1853,791,32.2,1360000
Vanuatu,Vanuatu,1853,657,24.3,31900
Uzbekistan,Uzbekistan,1853,557,26.9,2600000
Uruguay,Uruguay,1853,3820,32.9,162000
United States,United States,1853,3570,39.4,26400000
United Kingdom,United Kingdom,1853,4900,40.6,23200000
United Arab Emirates,United Arab Emirates,1853,1220,30.7,40200
Ukraine,Ukraine,1853,967,36.6,15200000
Uganda,Uganda,1853,545,25.3,2340000
Turkey,Turkey,1853,1460,35,11200000
Tunisia,Tunisia,1853,840,28.8,1070000
Trinidad and Tobago,Trinidad and Tobago,1853,1480,38.8,87500
Tonga,Tonga,1853,743,28.2,18600
Togo,Togo,1853,803,31.3,596000
Timor-Leste,Timor-Leste,1853,578,28.9,198000
Thailand,Thailand,1853,979,30.4,5320000
Tanzania,Tanzania,1853,616,32.2,3390000
Tajikistan,Tajikistan,1853,675,24.2,632000
Syria,Syria,1853,1130,31.1,1490000
Switzerland,Switzerland,1853,3860,38,2410000
Sweden,Sweden,1853,1740,40,3550000
Suriname,Suriname,1853,2050,32.9,104000
Sudan,Sudan,1853,610,31.4,4700000
St. Vincent and the Grenadines,St. Vincent and the Grenadines,1853,1050,26,30500
St. Lucia,St. Lucia,1853,977,28,25100
Sri Lanka,Sri Lanka,1853,987,32.6,2280000
Spain,Spain,1853,1720,29.5,15100000
South Sudan,South Sudan,1853,597,26.7,1240000
South Korea,South Korea,1853,545,25.8,9580000
South Africa,South Africa,1853,1740,33.5,2150000
Somalia,Somalia,1853,730,29.4,1230000
Solomon Islands,Solomon Islands,1853,409,25.1,65700
Slovenia,Slovenia,1853,1830,36.6,629000
Slovak Republic,Slovak Republic,1853,1850,36.4,2410000
Singapore,Singapore,1853,1100,34,59900
Sierra Leone,Sierra Leone,1853,863,25.1,995000
Seychelles,Seychelles,1853,976,37,14000
Serbia,Serbia,1853,1760,35.5,2870000
Senegal,Senegal,1853,585,25.2,1260000
Saudi Arabia,Saudi Arabia,1853,893,32.1,2250000
Sao Tome and Principe,Sao Tome and Principe,1853,938,31,29100
Samoa,Samoa,1853,1570,25.4,45500
Rwanda,Rwanda,1853,461,31.8,1140000
Russia,Russia,1853,1810,29.5,42200000
Romania,Romania,1853,1280,35.7,8170000
Qatar,Qatar,1853,1340,30.8,14100
Portugal,Portugal,1853,1750,35.6,3880000
Poland,Poland,1853,1480,35.9,13700000
Philippines,Philippines,1853,1010,30.9,3330000
Peru,Peru,1853,1320,35.7,2090000
Paraguay,Paraguay,1853,1270,35.5,344000
Papua New Guinea,Papua New Guinea,1853,613,31.5,929000
Panama,Panama,1853,1230,32.9,140000
Palestine,Palestine,1853,1230,32.1,172000
Pakistan,Pakistan,1853,1020,25.8,15200000
Oman,Oman,1853,1050,32.3,350000
Norway,Norway,1853,1850,47.9,1450000
North Korea,North Korea,1853,548,26,4470000
Nigeria,Nigeria,1853,1030,30.4,13900000
Niger,Niger,1853,525,30.8,1480000
Nicaragua,Nicaragua,1853,1390,25.4,356000
New Zealand,New Zealand,1853,2310,34,107000
Netherlands,Netherlands,1853,4530,38.6,3190000
Nepal,Nepal,1853,659,32.8,4410000
Namibia,Namibia,1853,887,32.4,229000
Myanmar,Myanmar,1853,846,30.8,3980000
Mozambique,Mozambique,1853,403,30.3,2790000
Morocco,Morocco,1853,759,33.1,3370000
Montenegro,Montenegro,1853,1370,35.4,170000
Mongolia,Mongolia,1853,628,31.8,651000
Moldova,Moldova,1853,745,33.1,965000
Mexico,Mexico,1853,1280,26.9,7940000
Mauritius,Mauritius,1853,1110,32.9,226000
Mauritania,Mauritania,1853,620,32,439000
Marshall Islands,Marshall Islands,1853,557,,7150
Malta,Malta,1853,1060,28.7,166000
Mali,Mali,1853,611,26.4,1910000
Maldives,Maldives,1853,842,32.6,51200
Malaysia,Malaysia,1853,1070,30.6,568000
Malawi,Malawi,1853,353,30.3,738000
Madagascar,Madagascar,1853,674,30.5,2110000
Luxembourg,Luxembourg,1853,2150,36.9,158000
Lithuania,Lithuania,1853,1610,28.9,1060000
Libya,Libya,1853,1580,33.1,637000
Liberia,Liberia,1853,873,31.1,412000
Lesotho,Lesotho,1853,405,32.8,354000
Lebanon,Lebanon,1853,1380,29.7,420000
Latvia,Latvia,1853,952,33,801000
Lao,Lao,1853,938,31.9,643000
Kyrgyz Republic,Kyrgyz Republic,1853,681,23.9,718000
Kuwait,Kuwait,1853,1340,26,81200
Kiribati,Kiribati,1853,577,24.9,19900
Kenya,Kenya,1853,1010,25.5,2580000
Jordan,Jordan,1853,1120,31.7,249000
Japan,Japan,1853,1140,36.4,32500000
Jamaica,Jamaica,1853,913,34.2,419000
Italy,Italy,1853,2350,29.7,25000000
Israel,Israel,1853,886,32,218000
Ireland,Ireland,1853,2320,38.3,4800000
Iraq,Iraq,1853,1110,31.2,1400000
Iran,Iran,1853,1040,25.6,7730000
Indonesia,Indonesia,1853,1050,30,22600000
India,India,1853,1060,25.4,199000000
Iceland,Iceland,1853,1330,48.6,76200
Hungary,Hungary,1853,1620,36,5270000
Honduras,Honduras,1853,1030,33.9,348000
Haiti,Haiti,1853,889,29,971000
Guyana,Guyana,1853,1520,31.1,208000
Guinea-Bissau,Guinea-Bissau,1853,801,32,272000
Guinea,Guinea,1853,483,30.1,1320000
Guatemala,Guatemala,1853,1120,25.8,884000
Grenada,Grenada,1853,1110,37.3,32500
Greece,Greece,1853,1840,36.6,3130000
Ghana,Ghana,1853,726,28,1720000
Germany,Germany,1853,2160,38.4,34500000
Georgia,Georgia,1853,637,31.9,1450000
Gambia,Gambia,1853,840,28.8,132000
Gabon,Gabon,1853,393,30.6,209000
France,France,1853,2640,42.5,36600000
Finland,Finland,1853,1540,33.6,1650000
Fiji,Fiji,1853,880,26.1,136000
Ethiopia,Ethiopia,1853,530,29.7,4710000
Estonia,Estonia,1853,1190,37.3,453000
Eritrea,Eritrea,1853,580,30.2,318000
Equatorial Guinea,Equatorial Guinea,1853,381,29.8,89700
El Salvador,El Salvador,1853,1290,28.7,385000
Egypt,Egypt,1853,923,33,5910000
Ecuador,Ecuador,1853,655,32.9,841000
Dominican Republic,Dominican Republic,1853,800,29.9,161000
Dominica,Dominica,1853,831,,23600
Djibouti,Djibouti,1853,889,29.9,29500
Denmark,Denmark,1853,2910,38.6,1560000
Czech Republic,Czech Republic,1853,2480,35,6230000
Cyprus,Cyprus,1853,1260,38.5,185000
Cuba,Cuba,1853,1600,36.4,1240000
Croatia,Croatia,1853,1750,36.1,1640000
Cote d'Ivoire,Cote d'Ivoire,1853,1000,31.2,1360000
Costa Rica,Costa Rica,1853,1120,30.2,105000
"Congo, Dem. Rep.","Congo, Dem. Rep.",1853,603,31.6,6420000
Comoros,Comoros,1853,735,32.1,73100
Colombia,Colombia,1853,1050,32,2090000
China,China,1853,1010,29,397000000
Chile,Chile,1853,1390,32,1490000
Chad,Chad,1853,492,30.9,1430000
Central African Republic,Central African Republic,1853,499,30,562000
Canada,Canada,1853,2260,41.2,2730000
Cameroon,Cameroon,1853,736,28.8,2050000
Cambodia,Cambodia,1853,951,35,2250000
Burundi,Burundi,1853,439,31.5,1160000
Burkina Faso,Burkina Faso,1853,499,29.2,2120000
Bulgaria,Bulgaria,1853,1280,38.1,2500000
Brazil,Brazil,1853,1160,32,7600000
Botswana,Botswana,1853,467,33.6,121000
Bosnia and Herzegovina,Bosnia and Herzegovina,1853,783,35.1,1140000
Bhutan,Bhutan,1853,674,28.8,106000
Benin,Benin,1853,702,31,879000
Belize,Belize,1853,725,26.5,25900
Belgium,Belgium,1853,3620,41.3,4530000
Belarus,Belarus,1853,744,36.2,3190000
Barbados,Barbados,1853,1140,32.1,138000
Bangladesh,Bangladesh,1853,879,25.5,23000000
Bahrain,Bahrain,1853,1580,30.3,64500
Bahamas,Bahamas,1853,1810,35.2,30500
Azerbaijan,Azerbaijan,1853,934,29.2,1190000
Austria,Austria,1853,2990,34.4,4040000
Australia,Australia,1853,4980,34,877000
Armenia,Armenia,1853,585,34,559000
Argentina,Argentina,1853,2410,33.2,1200000
Antigua and Barbuda,Antigua and Barbuda,1853,948,33.5,37000
Angola,Angola,1853,779,27,2000000
Andorra,Andorra,1853,1830,,3290
Algeria,Algeria,1853,1050,28.8,3370000
Albania,Albania,1853,721,35.4,519000
Afghanistan,Afghanistan,1853,676,27.7,3860000
Vietnam,,1853,844,32,8920000
Turkmenistan,,1853,1200,24,498000
Swaziland,,1853,576,32.3,86100
"Micronesia, Fed. Sts.",,1853,535,26.7,19400
"Macedonia, FYR",,1853,895,36.1,525000
Kazakhstan,,1853,1450,26.2,2760000
"Congo, Rep.",,1853,668,32.7,400000
Cape Verde,,1853,611,33.8,74900
Brunei,,1853,1700,29.2,4220
Bolivia,,1853,1170,33,1390000
Zimbabwe,Zimbabwe,1854,927,33.7,1380000
Zambia,Zambia,1854,756,32.6,746000
Yemen,Yemen,1854,1020,23.4,2760000
Venezuela,Venezuela,1854,795,32.2,1380000
Vanuatu,Vanuatu,1854,659,24.3,32000
Uzbekistan,Uzbekistan,1854,559,26.9,2620000
Uruguay,Uruguay,1854,3910,32.9,169000
United States,United States,1854,3580,39.4,27100000
United Kingdom,United Kingdom,1854,5080,39.3,23400000
United Arab Emirates,United Arab Emirates,1854,1220,30.7,40200
Ukraine,Ukraine,1854,973,36.6,15400000
Uganda,Uganda,1854,548,25.3,2350000
Turkey,Turkey,1854,1470,35,11200000
Tunisia,Tunisia,1854,845,28.8,1070000
Trinidad and Tobago,Trinidad and Tobago,1854,1480,38.8,89100
Tonga,Tonga,1854,746,28.2,18600
Togo,Togo,1854,807,31.3,602000
Timor-Leste,Timor-Leste,1854,580,28.9,200000
Thailand,Thailand,1854,981,30.4,5350000
Tanzania,Tanzania,1854,618,32.2,3400000
Tajikistan,Tajikistan,1854,679,24.2,637000
Syria,Syria,1854,1130,31.1,1500000
Switzerland,Switzerland,1854,3410,38,2430000
Sweden,Sweden,1854,1760,44.5,3590000
Suriname,Suriname,1854,2060,32.9,104000
Sudan,Sudan,1854,613,31.4,4710000
St. Vincent and the Grenadines,St. Vincent and the Grenadines,1854,1060,26,30700
St. Lucia,St. Lucia,1854,981,28,25300
Sri Lanka,Sri Lanka,1854,1010,32.6,2310000
Spain,Spain,1854,1750,29.5,15200000
South Sudan,South Sudan,1854,599,26.7,1250000
South Korea,South Korea,1854,545,25.8,9590000
South Africa,South Africa,1854,1700,33.5,2180000
Somalia,Somalia,1854,730,29.4,1240000
Solomon Islands,Solomon Islands,1854,410,25.1,65800
Slovenia,Slovenia,1854,1830,36.6,634000
Slovak Republic,Slovak Republic,1854,1860,36.4,2420000
Singapore,Singapore,1854,1100,34,61200
Sierra Leone,Sierra Leone,1854,867,25.1,1000000
Seychelles,Seychelles,1854,980,37,14100
Serbia,Serbia,1854,1770,35.5,2900000
Senegal,Senegal,1854,588,25.2,1270000
Saudi Arabia,Saudi Arabia,1854,894,32.1,2260000
Sao Tome and Principe,Sao Tome and Principe,1854,940,31,29300
Samoa,Samoa,1854,1580,25.4,45300
Rwanda,Rwanda,1854,462,31.8,1150000
Russia,Russia,1854,1820,27.5,42600000
Romania,Romania,1854,1300,35.7,8220000
Qatar,Qatar,1854,1340,30.8,14100
Portugal,Portugal,1854,1720,35.6,3900000
Poland,Poland,1854,1490,35.9,13800000
Philippines,Philippines,1854,1010,30.9,3380000
Peru,Peru,1854,1320,35.7,2120000
Paraguay,Paraguay,1854,1280,35.5,349000
Papua New Guinea,Papua New Guinea,1854,615,31.5,934000
Panama,Panama,1854,1250,32.9,142000
Palestine,Palestine,1854,1230,32.1,173000
Pakistan,Pakistan,1854,1020,25.8,15300000
Oman,Oman,1854,1060,32.3,350000
Norway,Norway,1854,1900,51.6,1470000
North Korea,North Korea,1854,548,26,4480000
Nigeria,Nigeria,1854,1030,30.4,14000000
Niger,Niger,1854,527,30.8,1490000
Nicaragua,Nicaragua,1854,1400,25.4,359000
New Zealand,New Zealand,1854,2470,34,112000
Netherlands,Netherlands,1854,4800,38.6,3210000
Nepal,Nepal,1854,659,32.8,4430000
Namibia,Namibia,1854,900,32.4,229000
Myanmar,Myanmar,1854,846,30.8,3990000
Mozambique,Mozambique,1854,403,30.3,2810000
Morocco,Morocco,1854,760,33.1,3390000
Montenegro,Montenegro,1854,1380,35.4,171000
Mongolia,Mongolia,1854,629,31.8,652000
Moldova,Moldova,1854,749,33.1,974000
Mexico,Mexico,1854,1280,26.9,8000000
Mauritius,Mauritius,1854,1110,7.5,234000
Mauritania,Mauritania,1854,623,32,441000
Marshall Islands,Marshall Islands,1854,557,,7190
Malta,Malta,1854,1070,28.7,167000
Mali,Mali,1854,611,26.4,1920000
Maldives,Maldives,1854,842,32.6,51500
Malaysia,Malaysia,1854,1070,30.6,580000
Malawi,Malawi,1854,353,30.3,739000
Madagascar,Madagascar,1854,677,30.5,2120000
Luxembourg,Luxembourg,1854,2180,36.9,159000
Lithuania,Lithuania,1854,1620,28.9,1070000
Libya,Libya,1854,1600,33.1,641000
Liberia,Liberia,1854,876,31.1,415000
Lesotho,Lesotho,1854,405,32.8,357000
Lebanon,Lebanon,1854,1390,29.7,423000
Latvia,Latvia,1854,958,33,808000
Lao,Lao,1854,940,31.9,650000
Kyrgyz Republic,Kyrgyz Republic,1854,687,23.9,725000
Kuwait,Kuwait,1854,1340,26,81200
Kiribati,Kiribati,1854,578,24.9,20000
Kenya,Kenya,1854,1010,25.5,2580000
Jordan,Jordan,1854,1120,31.7,250000
Japan,Japan,1854,1140,36.4,32600000
Jamaica,Jamaica,1854,912,34.2,423000
Italy,Italy,1854,2190,29.7,25100000
Israel,Israel,1854,887,32,219000
Ireland,Ireland,1854,2350,38.3,4710000
Iraq,Iraq,1854,1120,31.2,1410000
Iran,Iran,1854,1050,25.6,7760000
Indonesia,Indonesia,1854,1050,30,22800000
India,India,1854,1060,25.4,200000000
Iceland,Iceland,1854,1340,43.1,76700
Hungary,Hungary,1854,1630,36,5310000
Honduras,Honduras,1854,1040,33.9,354000
Haiti,Haiti,1854,898,29,981000
Guyana,Guyana,1854,1530,31.1,210000
Guinea-Bissau,Guinea-Bissau,1854,801,32,274000
Guinea,Guinea,1854,484,30.1,1330000
Guatemala,Guatemala,1854,1130,25.8,895000
Grenada,Grenada,1854,1110,37.3,32600
Greece,Greece,1854,1840,36.6,3160000
Ghana,Ghana,1854,726,28,1710000
Germany,Germany,1854,2210,38.4,34700000
Georgia,Georgia,1854,640,31.9,1470000
Gambia,Gambia,1854,840,28.8,133000
Gabon,Gabon,1854,393,30.6,211000
France,France,1854,2960,36.1,36800000
Finland,Finland,1854,1540,38,1670000
Fiji,Fiji,1854,883,26.1,136000
Ethiopia,Ethiopia,1854,530,29.7,4770000
Estonia,Estonia,1854,1200,38.3,457000
Eritrea,Eritrea,1854,582,30.2,322000
Equatorial Guinea,Equatorial Guinea,1854,382,29.8,90000
El Salvador,El Salvador,1854,1300,28.7,391000
Egypt,Egypt,1854,927,33,5970000
Ecuador,Ecuador,1854,659,32.9,852000
Dominican Republic,Dominican Republic,1854,804,29.9,165000
Dominica,Dominica,1854,836,,23700
Djibouti,Djibouti,1854,892,29.9,29700
Denmark,Denmark,1854,2900,44.7,1580000
Czech Republic,Czech Republic,1854,2490,35,6250000
Cyprus,Cyprus,1854,1280,38.5,186000
Cuba,Cuba,1854,1620,36.5,1250000
Croatia,Croatia,1854,1750,36.1,1660000
Cote d'Ivoire,Cote d'Ivoire,1854,1010,31.2,1370000
Costa Rica,Costa Rica,1854,1140,30.2,106000
"Congo, Dem. Rep.","Congo, Dem. Rep.",1854,606,31.6,6470000
Comoros,Comoros,1854,735,32.1,73700
Colombia,Colombia,1854,1050,32,2110000
China,China,1854,991,28,395000000
Chile,Chile,1854,1420,32,1510000
Chad,Chad,1854,494,30.9,1440000
Central African Republic,Central African Republic,1854,501,30,564000
Canada,Canada,1854,2280,41.2,2810000
Cameroon,Cameroon,1854,740,28.8,2050000
Cambodia,Cambodia,1854,953,35,2260000
Burundi,Burundi,1854,439,31.5,1170000
Burkina Faso,Burkina Faso,1854,500,29.2,2130000
Bulgaria,Bulgaria,1854,1290,38.2,2510000
Brazil,Brazil,1854,1120,32,7720000
Botswana,Botswana,1854,469,33.6,121000
Bosnia and Herzegovina,Bosnia and Herzegovina,1854,783,35.1,1150000
Bhutan,Bhutan,1854,675,28.8,106000
Benin,Benin,1854,705,31,888000
Belize,Belize,1854,730,26.5,25900
Belgium,Belgium,1854,3820,39.8,4560000
Belarus,Belarus,1854,749,36.2,3220000
Barbados,Barbados,1854,1150,32.1,140000
Bangladesh,Bangladesh,1854,879,25.5,23100000
Bahrain,Bahrain,1854,1600,30.3,64500
Bahamas,Bahamas,1854,1820,35.2,30900
Azerbaijan,Azerbaijan,1854,939,29.2,1200000
Austria,Austria,1854,3020,34.4,4070000
Australia,Australia,1854,4360,34,926000
Armenia,Armenia,1854,587,34,564000
Argentina,Argentina,1854,2450,33.2,1230000
Antigua and Barbuda,Antigua and Barbuda,1854,954,33.5,36900
Angola,Angola,1854,783,27,2020000
Andorra,Andorra,1854,1860,,3310
Algeria,Algeria,1854,1060,28.8,3390000
Albania,Albania,1854,723,35.4,523000
Afghanistan,Afghanistan,1854,678,27.7,3870000
Vietnam,,1854,843,32,8990000
Turkmenistan,,1854,1200,24,502000
Swaziland,,1854,579,32.3,86100
"Micronesia, Fed. Sts.",,1854,535,26.7,19500
"Macedonia, FYR",,1854,898,36.1,530000
Kazakhstan,,1854,1450,26.2,2790000
"Congo, Rep.",,1854,670,32.7,403000
Cape Verde,,1854,613,33.8,75600
Brunei,,1854,1700,29.2,4300
Bolivia,,1854,1180,33,1400000
Zimbabwe,Zimbabwe,1855,928,33.7,1390000
Zambia,Zambia,1855,758,32.6,746000
Yemen,Yemen,1855,1030,23.4,2770000
Venezuela,Venezuela,1855,798,32.2,1400000
Vanuatu,Vanuatu,1855,661,24.3,32100
Uzbekistan,Uzbekistan,1855,561,26.9,2650000
Uruguay,Uruguay,1855,4000,32.9,176000
United States,United States,1855,3510,39.4,27900000
United Kingdom,United Kingdom,1855,4910,41,23600000
United Arab Emirates,United Arab Emirates,1855,1230,30.7,40200
Ukraine,Ukraine,1855,980,36.6,15500000
Uganda,Uganda,1855,551,25.3,2360000
Turkey,Turkey,1855,1470,35,11300000
Tunisia,Tunisia,1855,849,28.8,1080000
Trinidad and Tobago,Trinidad and Tobago,1855,1490,38.8,90900
Tonga,Tonga,1855,748,28.2,18700
Togo,Togo,1855,810,31.3,607000
Timor-Leste,Timor-Leste,1855,581,28.9,202000
Thailand,Thailand,1855,982,30.4,5380000
Tanzania,Tanzania,1855,619,32.2,3420000
Tajikistan,Tajikistan,1855,683,24.2,643000
Syria,Syria,1855,1130,31.1,1500000
Switzerland,Switzerland,1855,3960,38,2440000
Sweden,Sweden,1855,1870,43.1,3620000
Suriname,Suriname,1855,2080,32.9,105000
Sudan,Sudan,1855,615,31.4,4710000
St. Vincent and the Grenadines,St. Vincent and the Grenadines,1855,1060,26,30900
St. Lucia,St. Lucia,1855,984,28,25600
Sri Lanka,Sri Lanka,1855,1030,32.6,2340000
Spain,Spain,1855,1820,29.5,15300000
South Sudan,South Sudan,1855,602,26.7,1270000
South Korea,South Korea,1855,544,25.8,9600000
South Africa,South Africa,1855,1820,33.5,2200000
Somalia,Somalia,1855,731,29.4,1250000
Solomon Islands,Solomon Islands,1855,412,25.1,66000
Slovenia,Slovenia,1855,1840,36.6,640000
Slovak Republic,Slovak Republic,1855,1860,36.4,2430000
Singapore,Singapore,1855,1110,34,62400
Sierra Leone,Sierra Leone,1855,872,25.1,1010000
Seychelles,Seychelles,1855,984,37,14100
Serbia,Serbia,1855,1770,35.5,2920000
Senegal,Senegal,1855,590,25.2,1280000
Saudi Arabia,Saudi Arabia,1855,895,32.1,2260000
Sao Tome and Principe,Sao Tome and Principe,1855,942,31,29600
