Country,Country,Year,Avg. Income,Avg. LifeExp,Pop
Djibouti,Djibouti,1800,752,29.9,22800
Denmark,Denmark,1800,2010,37.4,1060000
Czech Republic,Czech Republic,1800,1920,35,5520000
Cyprus,Cyprus,1800,853,38.5,184000
Cuba,Cuba,1800,864,32.2,345000
Croatia,Croatia,1800,1080,36.1,1230000
Cote d'Ivoire,Cote d'Ivoire,1800,812,31.2,1090000
Costa Rica,Costa Rica,1800,775,30.2,52000
"Congo, Dem. Rep.","Congo, Dem. Rep.",1800,485,31.6,5160000
Comoros,Comoros,1800,696,32.1,56300
Colombia,Colombia,1800,962,32,1210000
China,China,1800,984,32,322000000
Chile,Chile,1800,1030,32,771000
Chad,Chad,1800,418,30.9,1430000
Central African Republic,Central African Republic,1800,424,30,479000
Canada,Canada,1800,1310,39,646000
Cameroon,Cameroon,1800,626,28.8,1860000
Cambodia,Cambodia,1800,903,35,2090000
Burundi,Burundi,1800,418,31.5,899000
Burkina Faso,Burkina Faso,1800,480,29.2,1670000
Bulgaria,Bulgaria,1800,1090,35.8,1990000
Brazil,Brazil,1800,1110,32,3640000
Botswana,Botswana,1800,397,33.6,121000
Bosnia and Herzegovina,Bosnia and Herzegovina,1800,669,35.1,852000
Bhutan,Bhutan,1800,629,28.8,90000
Benin,Benin,1800,597,31,637000
Belize,Belize,1800,579,26.5,25500
Belgium,Belgium,1800,2410,40,3140000
Belarus,Belarus,1800,608,36.2,2360000
Barbados,Barbados,1800,913,32.1,81700
Bangladesh,Bangladesh,1800,876,25.5,19200000
Bahrain,Bahrain,1800,1240,30.3,64500
Bahamas,Bahamas,1800,1450,35.2,27400
Azerbaijan,Azerbaijan,1800,775,29.2,880000
Austria,Austria,1800,1850,34.4,3210000
Australia,Australia,1800,814,34,351000
Armenia,Armenia,1800,514,34,413000
Argentina,Argentina,1800,1510,33.2,534000
Antigua and Barbuda,Antigua and Barbuda,1800,757,33.5,37000
Angola,Angola,1800,618,27,1570000
Andorra,Andorra,1800,1200,,2650
Algeria,Algeria,1800,715,28.8,2500000
Albania,Albania,1800,667,35.4,410000
Afghanistan,Afghanistan,1800,603,28.2,3280000
Vietnam,,1800,861,32,6550000
Turkmenistan,,1800,943,24,367000
Swaziland,,1800,490,32.3,86000
"Micronesia, Fed. Sts.",,1800,518,26.7,16400
"Macedonia, FYR",,1800,690,36.1,392000
Kazakhstan,,1800,1140,26.2,2040000
"Congo, Rep.",,1800,575,32.7,314000
Cape Verde,,1800,529,33.8,55700
Brunei,,1800,1510,29.2,2130
Bolivia,,1800,854,33,1100000
Zimbabwe,Zimbabwe,1801,870,33.7,1090000
Zambia,Zambia,1801,665,32.6,747000
Yemen,Yemen,1801,879,23.4,2590000
Venezuela,Venezuela,1801,682,32.2,718000
Vanuatu,Vanuatu,1801,586,24.3,27800
Uzbekistan,Uzbekistan,1801,502,26.9,1920000
Uruguay,Uruguay,1801,1760,32.9,55000
United States,United States,1801,2170,39.4,6930000
United Kingdom,United Kingdom,1801,3440,37.4,12500000
United Arab Emirates,United Arab Emirates,1801,1000,30.7,40200
Ukraine,Ukraine,1801,764,36.6,11200000
Uganda,Uganda,1801,464,25.3,2100000
Turkey,Turkey,1801,1220,35,9790000
Tunisia,Tunisia,1801,715,28.8,863000
Trinidad and Tobago,Trinidad and Tobago,1801,1230,32.9,60000
Tonga,Tonga,1801,663,28.2,18700
Togo,Togo,1801,683,31.3,446000
Timor-Leste,Timor-Leste,1801,522,28.9,137000
Thailand,Thailand,1801,931,30.4,4670000
Tanzania,Tanzania,1801,562,32.2,3020000
Tajikistan,Tajikistan,1801,557,24.2,467000
Syria,Syria,1801,1080,31.1,1340000
Switzerland,Switzerland,1801,2700,38,1830000
Sweden,Sweden,1801,1400,36.9,2350000
Suriname,Suriname,1801,1640,32.9,80700
Sudan,Sudan,1801,518,31.4,4000000
St. Vincent and the Grenadines,St. Vincent and the Grenadines,1801,838,26,25800
St. Lucia,St. Lucia,1801,875,28,24000
Sri Lanka,Sri Lanka,1801,898,32.6,1210000
Spain,Spain,1801,1520,29.5,11600000
South Sudan,South Sudan,1801,507,26.7,1030000
South Korea,South Korea,1801,575,25.8,9400000
South Africa,South Africa,1801,1480,33.5,1450000
Somalia,Somalia,1801,694,29.4,992000
Solomon Islands,Solomon Islands,1801,363,25.1,57000
Slovenia,Slovenia,1801,1410,36.6,470000
